,Unnamed: 0,hypothesis,context,img_id,hypothesis_avg_overall_blv_rating,reference_count,references,hypothesis_avg_overall_sighted_rating,hypothesis_length,avg_reference_length,max_reference_length,min_reference_length,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,Spice
0,1,A soccer field showing advertising billboards in the background.,Advertising,soccer_in_progress1,2.0,1,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,3.14285714285714,64,142.0,142,142,0.015037253689615384,5.043648216698401e-10,1.7005948411084495e-12,1.0262793474573641e-13,0.029850516812543252,0.050960735171261484,
1,2,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,Advertising,soccer_in_progress1,3.5,1,A soccer field showing advertising billboards in the background.,3.625,142,64.0,64,64,0.037037037035665334,1.1935247900206674e-09,3.848052244066257e-12,2.2073840969171684e-13,0.0732721314217985,0.06106106106106105,
2,3,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,1,"At a soccer match, advertisements for companies are placed on the boards alongside the field.",3.375,95,93.0,93,93,0.1333333333155556,0.09759000728160903,9.014793498658035e-07,2.7952555959639107e-09,0.17105760119120653,0.1333333333333333,
3,4,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,1,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,3.375,95,88.0,88,88,0.2042475568700067,0.10570815343160621,8.699358988790576e-07,2.5460513745621732e-09,0.1210340416495532,0.23040604343720492,
4,5,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,1,Five soccer players in blue jerseys are celebrating a good play.,3.375,95,64.0,64,64,0.33333333331111115,0.21821789022092503,0.15415080047990368,2.3505204105206395e-05,0.229145959182515,0.39559014267185466,
5,6,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,1,Football players celebrating a win.,3.375,95,35.0,35,35,0.1333333333244445,3.0860669990287532e-09,9.014793499259023e-12,4.970745472430083e-13,0.24664902291153779,0.21981981981981977,
6,7,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.",3.375,95,90.5,93,88,0.3333333332888889,0.15430334994115083,1.22349571413613e-06,3.5148478308733176e-09,0.1651035133771957,0.23040604343720492,
7,8,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Five soccer players in blue jerseys are celebrating a good play.",3.375,95,78.5,93,64,0.39999999994666674,0.2927700218448269,0.1875152612471204,2.722589422685125e-05,0.229145959182515,0.39559014267185466,
8,9,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|Football players celebrating a win.",3.375,95,64.0,93,35,0.26666666663111116,0.13801311184974058,1.1357928089414707e-06,3.324137842971454e-09,0.24664902291153779,0.2837209302325582,
9,10,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Five soccer players in blue jerseys are celebrating a good play.,3.375,95,76.0,88,64,0.4666666666355556,0.31622776599500324,0.19740230336070885,2.829559628115301e-05,0.229145959182515,0.39559014267185466,
10,11,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Football players celebrating a win.,3.375,95,61.5,88,35,0.25530944608750833,0.11818530842452457,9.371100393245553e-07,2.6921215587053903e-09,0.24664902291153779,0.3319727891156462,
11,12,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,2,Five soccer players in blue jerseys are celebrating a good play.|Football players celebrating a win.,3.375,95,49.5,64,35,0.33333333331111115,0.21821789022092503,0.15415080047990368,2.3505204105206395e-05,0.24664902291153779,0.39559014267185466,
12,13,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Five soccer players in blue jerseys are celebrating a good play.",3.375,95,81.6666666666667,93,64,0.5333333332622223,0.33806170184552686,0.2063872502318205,2.9256127303182507e-05,0.229145959182515,0.39559014267185466,
13,14,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Advertising,soccer_in_progress13,3.5,3,"At a soccer match, advertisements for companies are placed on the boards alongside the field.|This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.|Football players celebrating a win.",3.375,95,72.0,93,35,0.39999999994666674,0.16903085092276351,1.3001582049849567e-06,3.678763249408135e-09,0.24664902291153779,0.3319727891156462,
